pais,numero_orden,nombre_jugador
Argelia,ALG3,Melvin Mastil
Argelia,ALG4,Abdelatif Ramdane
Argelia,ALG7,Rayan Aït-Nouri
Argelia,ALG9,Aïssa Mandi
Argelia,ALG11,Zineddine Belaïd
Argelia,ALG14,Nabil Bentaleb
Argelia,ALG16,Houssem Aouar
Argelia,ALG19,Yacine Titraoui
Argelia,ALG21,Mohamed Amine Amoura
Argelia,ALG22,Nadhir Benbouali
Argelia,ALG23,Adil Boulbina
Argelia,ALG24,Farès Ghedjemis
Argelia,ALG25,Amine Gouiri
Argelia,ALG26,Anis Hadj Moussa
Australia,AUS1,Matthew Ryan
Australia,AUS2,Patrick Beach
Australia,AUS3,Paul Izzo
Australia,AUS4,Harry Souttar
Australia,AUS5,Alessandro Circati
Australia,AUS6,Jordan Bos
Australia,AUS7,Cameron Burgess
Australia,AUS8,Milos Degenek
Australia,AUS9,Aziz Behich
Australia,AUS10,Jason Geria
Australia,AUS11,Lucas Herrington
Australia,AUS12,Kai Trewin
Australia,AUS13,Jacob Italiano
Australia,AUS14,Jackson Irvine
Australia,AUS15,Paul Okon-Engstler
Australia,AUS16,Cameron Devlin
Australia,AUS17,Ajdin Hrustic
Australia,AUS18,Connor Metcalfe
Australia,AUS19,Aiden O’Neill
Australia,AUS20,Mathew Leckie
Australia,AUS21,Nishan Velupillay
Australia,AUS22,Nestoy Irakunda
Australia,AUS23,Awer Mabil
Australia,AUS24,Mohamed Touré
Australia,AUS25,Cristian Volpato
Australia,AUS26,Tete Yengi
Austria,AUT1,Patrick Pentz
Austria,AUT2,Alexander Schlager
Austria,AUT3,Florian Wiegele
Austria,AUT4,David Affengruber
Austria,AUT6,Kevin Danso
Austria,AUT7,Marco Friedl
Austria,AUT8,Philipp Lienhart
Austria,AUT9,Phillipp Mwene
Austria,AUT10,Stefan Posch
Austria,AUT11,Alexander Prass
Austria,AUT12,Michael Svoboda
Austria,AUT13,Christoph Baumgartner
Austria,AUT14,Carney Chukwuemeka
Austria,AUT15,Florian Grillitsch
Austria,AUT16,Konrad Laimer
Austria,AUT17,Marcel Sabitzer
Austria,AUT18,Xavier Schlager
Austria,AUT19,Romano Schimid
Austria,AUT20,Alessandro Schöph
Austria,AUT21,Nicolas Seiwald
Austria,AUT22,Paul Wanner
Austria,AUT23,Patrick Wimmer
Austria,AUT24,Marko Arnautovic
Austria,AUT25,Michael Gregoritsch
Austria,AUT26,Sasa Kalajdzic
Belgica,BEL1,Thibaut Courtois
Belgica,BEL2,Senne Lammens
Belgica,BEL3,Mike Penders
Belgica,BEL4,Zeno Debast
Belgica,BEL5,Arthur Theate
Belgica,BEL6,Koni de Winter
Belgica,BEL7,Brandon Mechele
Belgica,BEL8,Nathan Ngoy
Belgica,BEL9,Thomas Meunir
Belgica,BEL10,Timothy Castagne
Belgica,BEL11,Maxim de Cuyper
Belgica,BEL12,Joaquin Seys
