"codigo","seleccion","jugador","nombre_completo","falta_fecha_nacimiento","falta_edad","falta_estatura","falta_club","falta_posicion","fecha_nacimiento_actual","edad_actual","estatura_actual","club_actual","posicion_actual"
"ALG 2","Argelia","Oussama Benbot","Oussama Benbot","true","true","true","false","false","","","","USM Alger","Arquero"
"ALG 3","Argelia","Melvin Mastil","Melvin Mastil","true","true","true","false","false","","","","KVC Westerlo","Arquero"
"ALG 4","Argelia","Abdelatif Ramdane","Abdelatif Ramdane","true","true","true","false","false","","","","MC Alger","Arquero"
"ALG 5","Argelia","Rafik Belghali","Rafik Belghali","true","true","true","false","false","","","","KV Mechelen","Defensa"
"ALG 6","Argelia","Samir Chergui","Samir Chergui","true","true","true","false","false","","","","USM Alger","Defensa"
"ALG 11","Argelia","Zineddine Belaïd","Zineddine Belaïd","true","true","true","false","false","","","","Saint-Trond VV","Defensa"
"ALG 12","Argelia","Achref Abada","Achref Abada","true","true","true","false","false","","","","MC Alger","Defensa"
"ALG 13","Argelia","Mohamed Amine Tougaï","Mohamed Amine Tougai","false","false","true","false","false","2000-01-22","26","","Espérance de Tunis","Defensa"
"ALG 19","Argelia","Yacine Titraoui","Yacine Titraoui","true","true","true","false","false","","","","Charleroi SC","Mediocampista"
"ALG 22","Argelia","Nadhir Benbouali","Nadhir Benbouali","true","true","true","false","false","","","","Charleroi SC","Delantero"
"ALG 23","Argelia","Adil Boulbina","Adil Boulbina","true","true","true","false","false","","","","Paradou AC","Delantero"
"ALG 24","Argelia","Farès Ghedjemis","Farès Ghedjemis","true","true","true","false","false","","","","FC Vizela","Delantero"
"ARG 12","Argentina","Enzo Fernández","Enzo Fernandez","true","true","true","false","false","","","","Chelsea","Mediocampista"
"ARG 17","Argentina","Valentín Barco","Valentín Barco","true","true","true","false","false","","","","Estrasburgo","Mediocampista"
"ARG 18","Argentina","Giovani Lo Celso","Giovani Lo Celso","true","true","true","false","false","","","","Real Betis","Mediocampista"
"ARG 20","Argentina","Julián Álvarez","Julián Álvarez Escudero","false","false","true","false","false","2000-01-01","26","","Atlético Madrid","Delantero"
