seleccion,orden,jugador,archivo_imagen,archivo_sin_ajustar
Argelia,1,Luca Zidane,,alg-02-ismael-bennacer.png
Argelia,2,Oussama Benbot,,alg-04-aymen-mahious.png
Argelia,3,Melvin Mastil,,
Argelia,4,Abdelatif Ramdane,,alg-08-yacine-benzia.png
Argelia,5,Rafik Belghali,,alg-10-adam-zorgane.png
Argelia,6,Samir Chergui,,alg-11-haris-belkebla.png
Argelia,7,Rayan Aït-Nouri,,alg-13-sofiane-feghouli.png
Argelia,8,Jaouen Hadjam,,alg-14-said-benrahma.png
Argelia,9,Aïssa Mandi,alg-20-aissa-mandi.png,alg-15-youcef-atal.png
Argelia,10,Ramy Bensebaïni,alg-03-ramy-bensebaini.png,alg-16-mohamed-fares.png
Argelia,11,Zineddine Belaïd,,alg-17-ahmed-touba.png
Argelia,12,Achref Abada,,alg-18-zinedine-belaid.png
Argelia,13,Mohamed Amine Tougaï,,alg-19-antar-yahia.png
Argelia,14,Nabil Bentaleb,alg-12-nabil-bentaleb.png,alg-21-alexis-guendouz.png
Argelia,15,Hicham Boudaoui,,alg-22-kevin-guitoun.png
Argelia,16,Houssem Aouar,alg-09-houssem-aouar.png,alg-23-anthony-mandrea.png
Argelia,17,Farès Chaïbi,alg-06-fares-chaibi.png,alg-24-alexandre-oukidja.png
Argelia,18,Ibrahim Maza,,alg-25-rais-m'bolhi.png
Argelia,19,Yacine Titraoui,,arg_07_franco-mastantuono.png
Argelia,20,Ramiz Zerrouki,,arg-leonel-mesi.png
Argelia,21,Mohamed Amine Amoura,alg-05-mohamed-amoura.png,
Argelia,22,Nadhir Benbouali,,
Argelia,23,Adil Boulbina,,
Argelia,24,Farès Ghedjemis,,
Argelia,25,Amine Gouiri,,
Argelia,26,Anis Hadj Moussa,alg-07-anis-hadj-moussa.png,
Argelia,27,Riyad Mahrez,alg-01-riyad-mahrez.png,
Argentina,1,Dibu Martínez,arg_01_dibu-martinez.png,
Argentina,2,Gerónimo Rulli,,
Argentina,3,Juan Musso,,
Argentina,4,Cristian Romero,arg_14_cristian-romero.png,
Argentina,5,Otamendi,arg_16_nicolas-otamendi.png,
Argentina,6,Nahuel Molina,arg_17_nahuel-molina.png,
Argentina,7,Nicolás Tagliafico,arg_18_nicolas-tagliafico.png,
Argentina,8,Gonzalo Montiel,,
Argentina,9,Leonardo Balerdi,arg_15_leonardo-balerdi.png,
Argentina,10,Lisandro Martínez,,
Argentina,11,Facundo Medina,,
Argentina,12,Enzo Fernández,arg_08_enzo-fernandez.png,
Argentina,13,Rodrigo de Paul,arg_12_rodrigo-de-paul.png,
Argentina,14,Alexis Mac Allister,arg_09_alexis mac allister.png,
Argentina,15,Leandro Paredes,arg_11_leandro-paredes.png,
Argentina,16,Exequiel Palacios,arg_13_exequiel-palacios.png,
Argentina,17,Valentín Barco,,
Argentina,18,Giovani Lo Celso,,
Argentina,19,Lionel Messi,arg_02_lionel-messi.png,
Argentina,20,Julián Álvarez,arg_05_julian-alvarez.png,
Argentina,21,Lautaro Martínez,arg_06_lautaro-martinez.png,
Argentina,22,José Manuel López,,
Argentina,23,Nico González,arg_03_nico-gonzalez.png,
Argentina,24,Thiago Almada,,
Argentina,25,Giuliano Simeone,arg_04_giuliano-simeone.png,
Argentina,26,Nico Paz,arg_10_nico-paz.png,
Australia,1,Matthew Ryan,,
Australia,2,Patrick Beach,,
Australia,3,Paul Izzo,,
Australia,4,Harry Souttar,,
Australia,5,Alessandro Circati,,
Australia,6,Jordan Bos,,
Australia,7,Cameron Burgess,,
Australia,8,Milos Degenek,,
Australia,9,Aziz Behich,,
Australia,10,Jason Geria,,
Australia,11,Lucas Herrington,,
Australia,12,Kai Trewin,,
Australia,13,Jacob Italiano,,
Australia,14,Jackson Irvine,,
Australia,15,Paul Okon-Engstler,,
Australia,16,Cameron Devlin,,
Australia,17,Ajdin Hrustic,,
Australia,18,Connor Metcalfe,,
Australia,19,Aiden O’Neill,,
Australia,20,Mathew Leckie,,
Australia,21,Nishan Velupillay,,
Australia,22,Nestoy Irakunda,,
Australia,23,Awer Mabil,,
Australia,24,Mohamed Touré,,
Australia,25,Cristian Volpato,,
Australia,26,Tete Yengi,,
Austria,1,Patrick Pentz,,
Austria,2,Alexander Schlager,,
Austria,3,Florian Wiegele,,
Austria,4,David Affengruber,,
Austria,5,David Alaba,,
Austria,6,Kevin Danso,,
