seleccion,orden,jugador
Argelia,1,Luca Zidane
Argelia,2,Oussama Benbot
Argelia,3,Melvin Mastil
Argelia,4,Abdelatif Ramdane
Argelia,5,Rafik Belghali
Argelia,6,Samir Chergui
Argelia,7,Rayan Aït-Nouri
Argelia,8,Jaouen Hadjam
Argelia,11,Zineddine Belaïd
Argelia,12,Achref Abada
Argelia,13,Mohamed Amine Tougaï
Argelia,15,Hicham Boudaoui
Argelia,18,Ibrahim Maza
Argelia,19,Yacine Titraoui
Argelia,20,Ramiz Zerrouki
Argelia,22,Nadhir Benbouali
Argelia,23,Adil Boulbina
Argelia,24,Farès Ghedjemis
Argelia,25,Amine Gouiri
Argentina,2,Gerónimo Rulli
Argentina,3,Juan Musso
Argentina,8,Gonzalo Montiel
Argentina,10,Lisandro Martínez
Argentina,11,Facundo Medina
Argentina,17,Valentín Barco
Argentina,18,Giovani Lo Celso
Argentina,22,José Manuel López
Argentina,24,Thiago Almada
Australia,1,Matthew Ryan
Australia,2,Patrick Beach
Australia,3,Paul Izzo
Australia,4,Harry Souttar
Australia,5,Alessandro Circati
Australia,6,Jordan Bos
Australia,7,Cameron Burgess
Australia,8,Milos Degenek
Australia,9,Aziz Behich
Australia,10,Jason Geria
Australia,11,Lucas Herrington
Australia,12,Kai Trewin
Australia,13,Jacob Italiano
Australia,14,Jackson Irvine
Australia,15,Paul Okon-Engstler
Australia,16,Cameron Devlin
Australia,17,Ajdin Hrustic
Australia,18,Connor Metcalfe
Australia,19,Aiden O’Neill
Australia,20,Mathew Leckie
Australia,21,Nishan Velupillay
Australia,22,Nestoy Irakunda
Australia,23,Awer Mabil
Australia,24,Mohamed Touré
Australia,25,Cristian Volpato
Australia,26,Tete Yengi
Austria,1,Patrick Pentz
Austria,2,Alexander Schlager
Austria,3,Florian Wiegele
Austria,4,David Affengruber
Austria,5,David Alaba
Austria,6,Kevin Danso
Austria,7,Marco Friedl
Austria,8,Philipp Lienhart
Austria,9,Phillipp Mwene
Austria,10,Stefan Posch
